"businessname","legalowner","namelast","namefirst","licenseno","issdttm","expdttm","licstatus","licensecat","descript","result","resultdttm","violation","viollevel","violdesc","violdttm","violstatus","statusdate","comments","address","city","state","zip","property_id","latitude","longtitude","rank"
"Heng Fat","  ","Lun Fat Produce Inc.","Att: Accounts Payable",384033,"2019-01-25 08:04:25","2019-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","231   Harrison AVE","Boston","MA",2111,247843,42.34747,-71.06302,1
"HENNESSY'S OF BOSTON","DENORMANDIE PHILIP Y","SOMERS","JOHN",21261,"2012-01-11 15:16:24","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-05-12,"590.004/4-101.19-C","*","Nonfood-Contact Surfaces (C)","2022-05-12 12:46:52","Fail","","Bare exposed wood in kitchen shelving  seal or paint","25  Union St","Boston","MA",2109,139290,42.361014,-71.056731,1
"HENRY'S VARIETY MARKET","","MAFA & BHAI N. PATEL"," ",21759,"2011-12-13 11:00:28","2022-12-31 23:59:00","Active","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","892   South ST","Roslindale","MA",2131,156098,42.288503,-71.13464,1
"Herrera's Burritos","","HERRERA","HENRY",21364,"2012-02-16 12:53:47","2020-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","8  Park Pz","Boston","MA",2116,158173,42.351362,-71.06874,1
"HERRERA'S MEXICAN GRILL  INC.","HENRY HERRERA","HENRY HERRERA"," ",21294,"2012-02-16 12:53:44","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","11  Temple PL","Boston","MA",2111,157714,42.355262,-71.062458,1
"Hi Lab Cafe","HARVARD COLLEGE PRES","Restaurant Associates Inc."," ",76366,"2012-02-14 13:52:37","2021-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","125   Western AVE","Allston","MA",2135,148156,42.36403,-71.12407,1
"Hi Timez Convenience & Smoke Shop","HAMILTON HARDWARE","Genisis","Devine",129181,"2014-06-10 09:54:09","2014-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","261   Bowdoin ST","Dorchester","MA",2122,17700,42.30646,-71.06651,1
"HIDDEN KITCHEN","","NICK KOUFOS"," ",19358,"2012-01-31 15:26:32","2019-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","535   Albany ST","Roxbury","MA",2118,155811,42.338403,-71.066939,1
"HIDYAN CAFE","TUTUNJIAN NANCY","SEMERAN BILKIK","HIDYAN CAFE",20912,"2011-12-19 14:14:59","2017-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","70  Kilmarnock ST","Boston","MA",2215,81582,42.342431,-71.099082,1
"HIEN VUONG RESTAURANT","TAM HO","TAM HO"," ",19842,"2012-02-01 14:57:53","2021-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","1487   Dorchester AVE","Dorchester","MA",2122,157039,42.299933,-71.060441,1
"HI-FI PIZZA","PRODROMOS HATZISTEFANOU","PRODROMOS HATZISTEFANOU"," ",22319,"2012-02-23 15:09:39","2014-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","1508   Dorchester AVE","Dorchester","MA",2122,156760,42.299301,-71.060249,1
"HIGH SPOT DELI","","FRED MESGARZADEH"," ",20492,"2012-01-31 16:27:35","2016-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","8   Beacon ST","Boston","MA",2108,155953,42.358141,-71.06179,1
"HIGHLAND TAP OF BOSTON INC.","ALEXOPOULOS AGAMEMNON","ALEXOPOULOS","AGAMEMNON",18864,"2011-12-07 11:52:34","2022-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","2121   Washington ST","Roxbury","MA",2119,155750,42.331982,-71.081961,1
"Hills Deli","IAOKIMIDIS JOHN ETAL","IOAKIMIDIS","GEORGE",18320,"2011-12-19 10:03:53","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-03-14,"590.002/2-402.11-C","*","Effectiveness-Hair Restraints (C)","2022-03-14 13:39:18","Fail","","Ensure all food handlers are wearing proper hair restrainrs while working with foods","3696  Washington ST","Jamaica Plain","MA",2130,144967,42.30064,-71.1127,1
"Hillside Market","DIOSTENES R. MEDINA  PRE SIDENT","Patel","Hareshkumar",357868,"2018-03-29 09:27:29","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-03-30,"590.003/3-302.11-C","*","Packaged and Unpackaged Food-Separation  Packaging  and Segregation  (C)","2022-03-30 14:06:42","Fail",""," Ensure all foods are kept elevated off the floors a minimum of 6 six inched during storage as discussed","82   Hillside ST","Mission Hill","MA",2120,157182,42.330383,-71.102948,1
"HILLSTONE RESTAURANT","ACME-PREMIER REALTY CORP","HILLSTONE RESTAURANT GROUP INC."," ",22370,"2012-01-06 12:46:49","2016-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-06-13,"","",""," ","",""," ","60   State ST","Boston","MA",2109,130427,42.35927,-71.05643,1
"Hilton Boston Back Bay Coffee Bar","HILTON SYSTEMS INC","PIM TRS Boston","Back Bay LLC",30407,"2012-01-09 14:14:52","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-01-26,"590.006/6-301.12-PF","**","Hand Drying Provision (Pf)","2022-01-26 11:30:40","Fail","","No paper towels available at bar hand sink.  Provide.","40   Dalton ST","Boston","MA",2115,45831,42.34645,-71.08526,1
"Hilton Boston Back Bay Gift Shop","HILTON SYSTEMS INC","PIM TRS Boston","Back Bay LLC",30406,"2012-01-09 14:12:15","2023-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-06-13,"590.006/6-501.11-C","*","Repairing-Premises  Structures  Attachments  and Fixtures-Methods (C)","2022-06-13 11:52:31","Fail","","Refrigerator holding bottled beverages is not working.  Person in charge indicated a service order has been placed and they are waitinf for a part.  No beverages stored in cooler need to be refrigerated at this time.  Repair unit.","40   Dalton ST","Boston","MA",2115,45831,42.34645,-71.08526,1
"HILTON BOSTON FINANCIAL DISTRICT","W-BOSTON LLC","W-BOSTON L L C"," ",25800,"2012-01-23 14:44:12","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Filed",2022-04-12,"590.003/3-304.14-C","*","Wiping Cloths  Use Limitation (C)","2022-04-12 11:15:42","Fail","","keep all wipinguse. cloths in a sanitizing solution when not in","89   Broad ST","Boston","MA",2110,20586,42.35744,-71.05316,1
"Hilton Boston Financial District-Gift Shop","W-BOSTON LLC","W-Boston  L L C"," ",73806,"2012-01-23 14:47:24","2019-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","89   Broad ST","Boston","MA",2110,20586,42.35744,-71.05316,1
"Himayalan Bistro","DAO THACH/RAM HARI DHITA L","DAO THACH/RAM HARI DHITAL"," ",24581,"2011-12-15 13:33:28","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-07-13,"590.004/4-602.13-C","*","Nonfood Contact Surfaces (C)","2022-07-13 14:18:52","Fail","","There is some debris along the floors in the function area.  Clean to remove.   There is some food debris along the exterior of the in-line refrigerators.  Clean to remove.","1735   Centre ST","West Roxbury","MA",2132,157550,42.287452,-71.14975,1
"Hing Shing Pastry","LEE SHUE PON TRSTS","LEUNG","HUNG PONG",18075,"2011-12-28 14:36:55","2023-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-08-01,"590.006/6-501.112-C","*","Removing Dead or Trapped Birds  Insects  Rodents and other Pest (C)","2022-08-01 13:44:07","Fail","","Dead roaches in basement. Consult licensed pest control as needed. Reviewed current pest reports.","67   Beach ST","Boston","MA",2111,9401,42.3511,-71.06004,1
"Hissho Sushi & Mein Bowl","FOLLETT COLLEGE STORES #530","Lwin Family Company LLC","Permit Coordinator",457622,"2021-09-08 08:47:38","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Pass",2022-03-22,"","",""," ","",""," ","100  William T Morrissey BLVD","Dorchester","MA",2125,155810,42.313144,-71.038947,1
"Hissho Sushi @ Bfresh","AKBARIAN MOHAMMED TRST","Hissho Sushi","Phone L. Maung  Pres.",153137,"2015-10-08 12:32:58","2020-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","214   Harvard AVE","Allston","MA",2134,70351,42.34967,-71.13011,1
"Hudson Coffee Terminal E Food Court","BETTANO TERRI","Levine","Mark",467807,"2022-04-06 12:35:17","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Pass",2022-03-10,"","",""," ","",""," ","1   Harborside DR","East Boston","MA",2128,155970,42.363408,-71.025698,1
"Hissho Sushi @ Stop & Shop","","Leo","David",413583,"2020-03-16 09:10:02","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-06-15,"590.002/2-501.11-PF","**","Clean-up of Vomiting and Diarrheal Events (Pf)","2022-06-15 11:50:50","Fail","","No written procedures and kit is not complete","60  Everett St","Brighton","MA",2134,158333,42.356544,-71.139231,1
"Hissho Sushi @ Stop & Shop No. 429","SOUTH BAY (E&A) LLC","Lwin Family Co. LLC","Att: Permitting Coordinator",445979,"2021-06-07 09:37:50","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-04-29,"590.002/2-301.12-P","***","Cleaning Procedure (P)","2022-04-29 09:56:18","Fail","","I observed the handsink completely dry and sticky. PIC states because of the hood hovering over it. I advised it have not been used and the hood has nothing to do with it. Train staff to wash hands while preparing ready to eat foods","1100  Massachusetts AVE","Dorchester","MA",2125,155147,42.3263,-71.06527,1
"Hissho Sushi @ Suffolk Univ.","COMMWLTH OF MASS","Maung Pres.","Phone Lwin",148222,"2015-09-14 14:48:48","2021-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","20  Somerset ST","Boston","MA",2108,128378,42.35969,-71.06179,1
"Hissho Sushi @ UMass Boston","FOLLETT COLLEGE STORES #530","Kong Franchisee","Shawn",161655,"2016-01-26 08:26:12","2021-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","100  William T Morrissey BLVD","Dorchester","MA",2125,155810,42.313144,-71.038947,1
"Hissho Sushi @Roche Bros.","ROCHE BROS. SUPERMARKETS  INC.","LWIN FAMILY CO."," ",23154,"2012-01-12 16:35:10","2017-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","1800  Centre ST","West Roxbury","MA",2132,157307,42.287186,-71.152539,1
"Hojoko","PURO MICHAEL TS","Hojoko LLC","Nancy Cushman c/o Oya",135902,"2015-08-07 14:34:43","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-05-31,"590.002(D)/2-103.11-PF","**","(A)-(P) Person-In-Charge-Duties (Pf)","2022-05-31 13:25:13","Fail","","No proof Sushi employees have been trained in the HACCP No proof of a full time on site Certified food protection manager","1271  Boylston ST","Boston","MA",2215,18077,42.3452,-71.09676,1
"HOLIDAY INN (FOOD SERVICE)","AIRPORT HOTEL LIMITED PAR","AIRPORT HOTEL LIMITED","PARTNERS",20485,"2009-03-24 14:13:13","2008-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-06-13,"","",""," ","",""," ","225  William F McClellan HWY","East Boston","MA",2128,156607,42.387239,-71.016559,1
"HOLLYWOOD LIQUORS","NINE50-958 TREMONT STREET","RAMON GENAO PRES."," ",22072,"2012-01-10 11:41:32","2020-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","950  Tremont St","Mission Hill","MA",2120,138032,42.33728,-71.08355,1
"Hollywood Liquors I I","JOHN DAVIS","Hollywood Liquors I I Inc."," ",75386,"2012-01-18 17:27:06","2018-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","489   Blue Hill AVE","Dorchester","MA",2121,157203,42.308443,-71.08354,1
"Home Goods No.  529","TOBIN ROBERT G TS","Home Goods Inc."," ",75207,"2011-12-16 11:22:54","2018-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","60  Everett St","Brighton","MA",2135,55003,42.35654,-71.13923,1
"Home Market","PAPPAS CHARLES S","Bilkis M. Jaman"," ",77909,"2012-03-14 11:29:56","2016-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-06-13,"","",""," ","",""," ","156   Belgrade AVE","Roslindale","MA",2131,13585,42.28611,-71.13703,1
"Home Run Cafe","","Guerrero Villar","Hector",160580,"2016-01-21 14:46:28","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-10-17,"590.002(D)/2-103.11-PF","**","(A)-(P) Person-In-Charge-Duties (Pf)","2022-10-17 12:58:25","Fail","","No Mangerial control over Staff improperly cleaning shrimp inside 3 bay sink  no vomit and diarrhea kit  handsink not provided with papertowel for proper handwashing  Encrusted soils on cooking equipment  and soiled equipment stored on clean rack also no date marking.","1269   Massachusetts AVE","Dorchester","MA",2125,91953,42.32146,-71.06264,1
"Home Stead","LENANE BUILDING HOLDING CO","Vivian GIrard Owner","Jack Wu  Owner",140279,"2016-03-04 08:55:10","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-01-25,"590.003/3-302.11-P","***","Packaged and Unpackaged Food-Separation  Packaging  and Segregation (P)","2022-01-25 13:08:13","Fail","","Raw whole eggs stored above milk containers. Discontinue and store on bottom shelf. PIC corrected at this time.","1448   Dorchester AVE","Dorchester","MA",2122,48323,42.301184,-71.059748,1
"Honest Market","NIKOLAS PSEUDOIKONOMOU","Losoon Water Park LLC","Att: Manager",434134,"2020-09-18 13:15:06","2020-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","90   Westland AVE","Boston","MA",2115,156827,42.343755,-71.089729,1
"Honey Dew Donuts","MASSARO","De Maria Inc."," ",75541,"2012-02-06 09:11:25","2016-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","14   Maverick SQ","East Boston","MA",2128,157627,42.369388,-71.03982,1
"Honeycomb Cafe","  ","Honeycomb Cafe","Nicole & Lara Miele",333594,"2017-08-02 10:03:43","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-05-25,"590.002(C)/2-102.12-C","*","(A) Certified Food Protection Manager (C)","2022-05-25 14:11:30","Fail","","Food Safety Certificate expired in April of 2022. PIC will need to provide a up to date certificate or a paid receipt and date of a class someone signed up for.","107   Savin Hill AV","Dorchester","MA",2125,123164,42.311608,-71.053998,1
"Honeygrow","","Honeygrow","Att: Facilities",333091,"2017-10-11 09:37:43","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-10-07,"590.004/4-501.11-C","*","Good Repair and Proper Adjustment-Equipment (C)","2022-10-07 10:37:17","Fail","","Reach in cooler at service line appears to be leaking condensate on floor. Make all necessary repairs.","100  Northern AVE","Boston","MA",2210,172336,42.352856,-71.043074,1
"Hong Kong 888 Cafe","  ","Changren Lin"," ",80208,"2012-07-16 13:35:17","2023-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-01-07,"590.002(D)/2-103.11-PF","**","(A)-(P) Person-In-Charge-Duties (Pf)","2022-01-07 14:27:32","Fail","","The manager was unfamiliar with illness policy and reporting.  Train all the employees in illness policy and make sure you are properly reporting. (I emailed the owner a copy of illness policy and current food code) There are repeat violations mostly around cooling of products.  I talked with the manage rabout utilizing the already on hand bakery rack to allow for proper cooling of items that are cooked in advance.","888   South ST","Roslindale","MA",2132,169825,42.28857,-71.134317,1
"HONG KONG CAFE","PURO MICHAEL TS","HENRY HO","HONG KONG CAFE",21920,"2007-09-26 13:32:20","2007-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-06-13,"","",""," ","",""," ","1271  Boylston ST","Boston","MA",2215,18077,42.3452,-71.09676,1
"Hong Kong Cafe","PURO MICHAEL TS","Soong","Beng",28126,"2012-02-06 13:33:30","2013-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-06-13,"","",""," ","",""," ","1271  Boylston ST","Boston","MA",2215,18077,42.3452,-71.09676,1
"HONG KONG CHEF","PAUL HON YAN","Lei","Yang Ming",459987,"2021-10-08 11:28:39","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-01-10,"590.002(D)/2-103.11-PF","**","(A)-(P) Person-In-Charge-Duties (Pf)","2022-01-10 12:56:11","Fail","","PIC not properly training staff on handwashing before starting cooking or preparaton of foods  not properly cleaning food contact equipment and surfaces  no proper training of staff on Illness policy and vomit and diarrhea kit  not doing self pest control  and proper use of 2 bay sink and providing correct deterngent/sanitizer to clean equipment. Provide Proper training for all listed above.","889  Dorchester AVE","Dorchester","MA",2125,158361,42.320061,-71.056929,1
"Hong Kong Eatery","","Kuang","Benny",139599,"2015-10-23 13:02:09","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-04-05,"590.003/3-302.11-P","***","Packaged and Unpackaged Food-Separation  Packaging  and Segregation (P)","2022-04-05 12:24:36","Fail","","Raw chicken stored above beef  raw beef stored above tofu in kitchen reach-in cooler. Baghs of pork  beef and calamari stored in same containter in walk-in. Raw bok choy stored below raw duck in walk-in cooler. Store raw meat below produce and according to final cooking requirements. Organize coolers  use labels as needed to help staff store raw animal products correctly.","79   Harrison AVE","Boston","MA",2111,70061,42.35101,-71.06162,1
"Hong Kong Harbor","HONG KONG HARBOR INC","Green Jade Corporation","Lifeng Chen",387994,"2019-04-25 11:16:49","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-05-02,"590.004/4-501.12-C","*","Cutting Surfaces (C)","2022-05-02 13:25:16","Fail","","Cutting board worn / Resurface or replace.","5   Maverick SQ","East Boston","MA",2128,92896,42.36888,-71.039276,1
"Hong Kong Harbour","HONG KONG HARBOR INC","Duong","Quan To",30331,"2011-12-13 14:12:22","2019-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","5   Maverick SQ","East Boston","MA",2128,92896,42.36888,-71.039276,1
"Hong Kong Supermarket of Allston","PETER LUU  PRES.","Hong Kong Supermarket of Allston L L C"," ",126356,"2014-03-11 08:22:28","2023-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-04-27,"590.003/3-305.11-C","*","Food Storage-Preventing Contamination from the Premises (C)","2022-04-27 11:51:03","Fail","","Several food items placed on the floor at retail area and lower level refrigerating units. Elevate properly.","1   Brighton AVE","Allston","MA",2134,157732,42.352411,-71.125329,1
"Hopsters","SLEEPER STREET BOSTON LLC","Hopsters LLC","Karen Cooper",336327,"2017-12-29 11:41:07","2020-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","51  Sleeper ST","Boston","MA",2210,128151,42.35245,-71.04855,1
"Hoshi Japanese Restaurant","BECKERLY AIDA","Henderson Li Pres."," ",74259,"2012-02-22 10:15:01","2018-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","525   Washington ST","Brighton","MA",2135,143608,42.3492,-71.162949,1
